,index,adventure,software training,photo editing,indie,education,action,animation &amp; modeling,early access,free to play,audio production,massively multiplayer,design &amp; illustration,utilities,sports,racing,rpg,accounting,simulation,casual,strategy,video production,game
18,88328,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,snow - lifetime pack
19,88329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,after life vr
20,88330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitty hawk
21,88331,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the warrior of treasures
22,88332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mortars vr
23,88333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,rc plane 3 - canyon scenario
24,88334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,rc plane 3 - f-53b
25,88335,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dinoblaster
26,88336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,robotpencil presents: understanding 3d for concept
27,88337,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,carmageddon max pack
28,88338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,half-life
29,88339,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fallen mage
30,88340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,don't get hit in the face
31,88341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,lost cities
32,88342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,twisted enhanced edition
33,88343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,vaporwave simulator
34,88344,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,tactics forever
35,88345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,christmas santa troubles
36,88346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kingdom watcher
37,88347,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,underdone - soundtrack
38,88348,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,bitcoin clicker
39,88349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,disciples ii: gallean's return
40,88350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,disciples ii: rise of the elves
41,88351,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,the ship: murder party
42,88352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,united tactics
43,88353,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,life of rome
44,88354,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,idle adventure
45,88355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,panoptic
46,88356,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,souland
47,88357,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,darkness and a crowd
48,88358,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,tarotica voo doo
49,88359,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,chronicles of vinland
50,88360,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orbitality
51,88361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medicalholodeck personal version
52,88362,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,atomic adam: episode 1
53,88363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,golf masters
54,88364,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,mirt. tales of the cold land. chapter 2
55,88365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,advent rising
56,88366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,defcon
57,88367,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,the ship: single player
58,88368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,garry's mod
59,88369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,race - the wtcc game
60,88370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,zen of sudoku
61,88371,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,gumboy - crazy adventures™
62,88372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ghost master®
63,88373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,vegas: make it big™
64,88374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dreamfall: the longest journey
65,88375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,flatout 2™
66,88376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,flatout
67,88377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lost planet™: extreme condition
68,88378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,civcity: rome
69,88379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,arx fatalis
70,88380,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,the longest journey
71,88381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,civilization iv®: warlords
72,88382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,railroad tycoon 3
73,88383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,sid meier's railroads!
74,88384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none
75,88385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,railroad tycoon ii platinum
76,88386,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,rip - trilogy™
77,88387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,x-com: terror from the deep
78,88388,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tomb raider: anniversary
79,88389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,devil may cry® 3 special edition
80,88390,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sam & max 101: culture shock
81,88391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,final doom
82,88392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,vigil: blood bitterness™
83,88393,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sam & max 102: situation: comedy
84,88394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ultimate doom
85,88395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master levels for doom ii
86,88396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,doom ii
87,88397,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wolfenstein 3d
88,88398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,return to castle wolfenstein
89,88399,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quake mission pack 1: scourge of armagon
90,88400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spear of destiny
91,88401,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bloodrayne
92,88402,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quake mission pack 2: dissolution of eternity
93,88403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,quake
94,88404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,genesis rising
95,88405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"warhammer® 40,000: dawn of war® – winter assault"
96,88406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bioshock™
97,88407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"warhammer® 40,000: dawn of war® - game of the year edition"
98,88408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"warhammer® 40,000: dawn of war® - dark crusade"
99,88409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rome: total war™ - collection
100,88410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,rome: total war™ - alexander
101,88411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mystery case files: madame fate®
102,88412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grand theft auto
103,88413,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grand theft auto 2
104,88414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manhunt
105,88415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,midnight club 2
106,88416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,max payne 2: the fall of max payne
107,88417,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tomb raider: legend
108,88418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,max payne
109,88419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,command & conquer: red alert 3
110,88420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,puzzlequest: challenge of the warlords
111,88421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,culpa innata
112,88422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,prison tycoon 3™: lockdown
113,88423,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,hunting unlimited™ 2008
114,88424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18 wheels of steel: american long haul
115,88425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conflict: denied ops
116,88426,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arma: combat operations
117,88427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,tycoon city: new york
118,88428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,desperados 2: cooper's revenge
119,88429,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,death to spies
120,88430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,act of war: high treason
121,88431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,rollercoaster tycoon® 3: platinum
122,88432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,act of war: direct action
123,88433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unreal 2: the awakening
124,88434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unreal gold
125,88435,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ninja reflex: steamworks edition
126,88436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tom clancy's splinter cell®
127,88437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,far cry®
128,88438,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unreal tournament: game of the year edition
129,88439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tom clancy's rainbow six® vegas
130,88440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,silent hunter® iii
131,88441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,virtual villagers - the secret city
132,88442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mystery p.i.™ - the vegas heist
133,88443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,luxor
134,88444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,reaxxion
135,88445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,little farm
136,88446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7 wonders ii
137,88447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,luxor amun rising
138,88448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,luxor 3
139,88449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,petz® horsez® 2
140,88450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,luxor 2
141,88451,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rayman raving rabbids™
142,88452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,silent hunter®: wolves of the pacific
143,88453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,il-2 sturmovik: 1946
144,88454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,silent hunter®: wolves of the pacific u-boat missions
145,88455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bone: out from boneville
146,88456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,midnight outlaw: 6 hours to sunup
147,88457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bone: the great cow race
148,88458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,sprint cars road to knoxville
149,88459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dr. daisy pet vet
150,88460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ride! carnival tycoon
151,88461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hot dish
152,88462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mahjongg investigations: under suspicion
153,88463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dracula origin
154,88464,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,beijing 2008™ - the official video game of the olympic games
155,88465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sherlock holmes - nemesis
156,88466,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eternity's child
157,88467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,pacific storm allies
158,88468,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tank universal
159,88469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,flatout: ultimate carnage
160,88470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oddworld: abe's exoddus®
161,88471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,oddworld: abe's oddysee®
162,88472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gtr evolution expansion pack for race 07
163,88473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,x-com: enforcer
164,88474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,x-com: apocalypse
165,88475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,x-com: ufo defense
166,88476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,s.t.a.l.k.e.r.: clear sky
167,88477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crysis warhead®
168,88478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,crysis
169,88479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,x-com: interceptor
170,88480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,the witcher: enhanced edition director's cut
171,88481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multiwinia
172,88482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,stcc - the game 1 - expansion pack for race 07
173,88483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,children of the nile: alexandria
174,88484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,sid meier's civilization iv: colonization
175,88485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tom clancy's rainbow six® 3 gold
176,88486,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lego batman
177,88487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,city life 2008
178,88488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,hinterland
179,88489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brothers in arms: hell's highway™
180,88490,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,gravitron 2
181,88491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,xpand rally xtreme
182,88492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,heroes of might & magic v: hammers of fate
183,88493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brothers in arms: earned in blood™
184,88494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,heroes of might & magic v: tribes of the east
185,88495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,the settlers®: rise of an empire gold edition
186,88496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,brain spa
187,88497,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the sum of all fears
188,88498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,peggle™ nights
189,88499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,world of goo
190,88500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,x3: terran conflict
191,88501,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mare nostrum
192,88502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,spectraball
193,88503,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,galactic bowling
194,88504,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bully: scholarship edition
195,88505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,far cry® 2: fortune's edition
196,88506,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,space trader: merchant marine
197,88507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,prr wagon pack 01
198,88508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"class 421 london south east ""jaffa cake"""
199,88509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,atsf wagon pack 01
200,88510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,gp20 union pacific add-on livery
201,88511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,uk van wagon pack
202,88512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,csx sd70mac add-on livery
203,88513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,csx es44ac add-on livery
204,88514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saints row 2
205,88515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead space
206,88516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,rise of the argonauts
207,88517,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mirror's edge™
208,88518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,defense grid: the awakening
209,88519,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f.e.a.r. 2: project origin
210,88520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,harvest: massive encounter
211,88521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,mayhem intergalactic
212,88522,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,larva mortus
213,88523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,knights of honor
214,88524,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ceville
215,88525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,empire: total war™ - special forces units & bonus content
216,88526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,watchmen: the end is nigh
217,88527,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,penumbra overture
218,88528,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unreal tournament 3 black
219,88529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,drakensang
220,88530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,age of booty™
221,88531,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,the graveyard
222,88532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,burnout paradise: the ultimate box
223,88533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zombie master
224,88534,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the maw
225,88535,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the maw: river redirect
226,88536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the maw: brute force
227,88537,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,obulis
228,88538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,space giraffe
229,88539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,codename: panzers - cold war
230,88540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,escape rosecliff island
231,88541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,guild wars nightfall
232,88542,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,guild wars
233,88543,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,guild wars factions
234,88544,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,guild wars trilogy
235,88545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,puzzle kingdoms
236,88546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,samantha swift and the golden touch
237,88547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,two worlds epic edition
238,88548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,helldorado
239,88549,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,x-blades
240,88550,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zeno clash
241,88551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the maw: speeder lane
242,88552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,king's bounty: the legend
